network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2001:470:0:284::8/125,6252001,6252001,,0,0
2001:470:0:284::10/124,6252001,6252001,,0,0
2001:470:0:284::20/123,6252001,6252001,,0,0
2001:470:0:284::40/122,6252001,6252001,,0,0
2001:470:0:284::80/121,6252001,6252001,,0,0
2001:470:0:284::100/120,6252001,6252001,,0,0
2001:470:0:284::200/119,6252001,6252001,,0,0
2001:470:0:284::400/118,6252001,6252001,,0,0
2001:470:0:284::800/117,6252001,6252001,,0,0
2001:470:0:284::1000/116,6252001,6252001,,0,0
2001:470:0:284::2000/115,6252001,6252001,,0,0
2001:470:0:284::4000/114,6252001,6252001,,0,0
2001:470:0:284::8000/113,6252001,6252001,,0,0
2001:470:0:284::1:0/112,6252001,6252001,,0,0
2001:470:0:284::2:0/111,6252001,6252001,,0,0
2001:470:0:284::4:0/110,6252001,6252001,,0,0
2001:470:0:284::8:0/109,6252001,6252001,,0,0
2001:470:0:284::10:0/108,6252001,6252001,,0,0
2001:470:0:284::20:0/107,6252001,6252001,,0,0
2001:470:0:284::40:0/106,6252001,6252001,,0,0
2001:470:0:284::80:0/105,6252001,6252001,,0,0
2001:470:0:284::100:0/104,6252001,6252001,,0,0
2001:470:0:284::200:0/103,6252001,6252001,,0,0
2001:470:0:284::400:0/102,6252001,6252001,,0,0
2001:470:0:284::800:0/101,6252001,6252001,,0,0
2001:470:0:284::1000:0/100,6252001,6252001,,0,0
2001:470:0:284::2000:0/99,6252001,6252001,,0,0
2001:470:0:284::4000:0/98,6252001,6252001,,0,0
2001:470:0:284::8000:0/97,6252001,6252001,,0,0
2001:470:0:284:0:1::/96,6252001,6252001,,0,0
2001:470:0:284:0:2::/95,6252001,6252001,,0,0
2001:470:0:284:0:4::/94,6252001,6252001,,0,0
2001:470:0:284:0:8::/93,6252001,6252001,,0,0
2001:470:0:284:0:10::/92,6252001,6252001,,0,0
2001:470:0:284:0:20::/91,6252001,6252001,,0,0
2001:470:0:284:0:40::/90,6252001,6252001,,0,0
2001:470:0:284:0:80::/89,6252001,6252001,,0,0
2001:470:0:284:0:100::/88,6252001,6252001,,0,0
2001:470:0:284:0:200::/87,6252001,6252001,,0,0
2001:470:0:284:0:400::/86,6252001,6252001,,0,0
2001:470:0:284:0:800::/85,6252001,6252001,,0,0
2001:470:0:284:0:1000::/84,6252001,6252001,,0,0
2001:470:0:284:0:2000::/83,6252001,6252001,,0,0
2001:470:0:284:0:4000::/82,6252001,6252001,,0,0
2001:470:0:284:0:8000::/81,6252001,6252001,,0,0
2001:470:0:284:1::/80,6252001,6252001,,0,0
2001:470:0:284:2::/79,6252001,6252001,,0,0
2001:470:0:284:4::/78,6252001,6252001,,0,0
2001:470:0:284:8::/77,6252001,6252001,,0,0
2001:470:0:284:10::/76,6252001,6252001,,0,0
2001:470:0:284:20::/75,6252001,6252001,,0,0
2001:470:0:284:40::/74,6252001,6252001,,0,0
2001:470:0:284:80::/73,6252001,6252001,,0,0
2001:470:0:284:100::/72,6252001,6252001,,0,0
2001:470:0:284:200::/71,6252001,6252001,,0,0
2001:470:0:284:400::/70,6252001,6252001,,0,0
2001:470:0:284:800::/69,6252001,6252001,,0,0
2001:470:0:284:1000::/68,6252001,6252001,,0,0
2001:470:0:284:2000::/67,6252001,6252001,,0,0
2001:470:0:284:4000::/66,6252001,6252001,,0,0
2001:470:0:284:8000::/65,6252001,6252001,,0,0
2001:470:0:285::/64,6252001,6252001,,0,0
2001:470:0:286::/63,6252001,6252001,,0,0
2001:470:0:288::/61,6252001,6252001,,0,0
2001:470:0:290::/60,6252001,6252001,,0,0
2001:470:0:2a0::/59,6252001,6252001,,0,0
2001:470:0:2c0::/58,6252001,6252001,,0,0
2001:470:0:300::/56,6252001,6252001,,0,0
2001:470:0:400::/54,6252001,6252001,,0,0
2001:470:0:800::/53,6252001,6252001,,0,0
2001:470:0:1000::/52,6252001,6252001,,0,0
2001:470:0:2000::/51,6252001,6252001,,0,0
2001:470:0:4000::/50,6252001,6252001,,0,0
2001:470:0:8000::/49,6252001,6252001,,0,0
2001:470:1::/53,6252001,6252001,,0,0
2001:470:1:800::/56,6252001,6252001,,0,0
2001:470:1:900::/57,6252001,6252001,,0,0
2001:470:1:980::/59,6252001,6252001,,0,0
2001:470:1:9a0::/63,6252001,6252001,,0,0
2001:470:1:9a2::/64,2510769,6252001,,0,0
2001:470:1:9a3::/64,6252001,6252001,,0,0
2001:470:1:9a4::/62,6252001,6252001,,0,0
2001:470:1:9a8::/61,6252001,6252001,,0,0
2001:470:1:9b0::/60,6252001,6252001,,0,0
2001:470:1:9c0::/58,6252001,6252001,,0,0
2001:470:1:a00::/55,6252001,6252001,,0,0
2001:470:1:c00::/54,6252001,6252001,,0,0
2001:470:1:1000::/52,6252001,6252001,,0,0
2001:470:1:2000::/51,6252001,6252001,,0,0
2001:470:1:4000::/50,6252001,6252001,,0,0
2001:470:1:8000::/49,6252001,6252001,,0,0
2001:470:2::/47,6252001,6252001,,0,0
2001:470:4::/48,6252001,6252001,,0,0
2001:470:5::/55,6252001,6252001,,0,0
2001:470:5:200::/56,6252001,6252001,,0,0
2001:470:5:300::/60,6252001,6252001,,0,0
2001:470:5:310::/61,6252001,6252001,,0,0
2001:470:5:318::/64,3865483,6252001,,0,0
2001:470:5:319::/64,6252001,6252001,,0,0
2001:470:5:31a::/63,6252001,6252001,,0,0
2001:470:5:31c::/62,6252001,6252001,,0,0
2001:470:5:320::/59,6252001,6252001,,0,0
2001:470:5:340::/58,6252001,6252001,,0,0
2001:470:5:380::/57,6252001,6252001,,0,0
2001:470:5:400::/54,6252001,6252001,,0,0
2001:470:5:800::/53,6252001,6252001,,0,0
2001:470:5:1000::/52,6252001,6252001,,0,0
2001:470:5:2000::/51,6252001,6252001,,0,0
2001:470:5:4000::/50,6252001,6252001,,0,0
2001:470:5:8000::/49,6252001,6252001,,0,0
2001:470:6::/47,6252001,6252001,,0,0
2001:470:8::/47,6252001,6252001,,0,0
2001:470:a::/48,6252001,6252001,,0,0
2001:470:b::/53,6252001,6252001,,0,0
2001:470:b:800::/56,6252001,6252001,,0,0
2001:470:b:900::/59,6252001,6252001,,0,0
2001:470:b:920::/61,6252001,6252001,,0,0
2001:470:b:928::/64,6252001,6252001,,0,0
2001:470:b:929::/64,6251999,6252001,,0,0
2001:470:b:92a::/63,6252001,6252001,,0,0
2001:470:b:92c::/62,6252001,6252001,,0,0
2001:470:b:930::/60,6252001,6252001,,0,0
2001:470:b:940::/58,6252001,6252001,,0,0
2001:470:b:980::/57,6252001,6252001,,0,0
2001:470:b:a00::/55,6252001,6252001,,0,0
2001:470:b:c00::/54,6252001,6252001,,0,0
2001:470:b:1000::/52,6252001,6252001,,0,0
2001:470:b:2000::/51,6252001,6252001,,0,0
2001:470:b:4000::/50,6252001,6252001,,0,0
2001:470:b:8000::/49,6252001,6252001,,0,0
2001:470:c::/48,6252001,6252001,,0,0
2001:470:d::/56,6252001,6252001,,0,0
2001:470:d:100::/60,6252001,6252001,,0,0
2001:470:d:110::/61,6252001,6252001,,0,0
2001:470:d:118::/62,6252001,6252001,,0,0
2001:470:d:11c::/64,2186224,6252001,,0,0
2001:470:d:11d::/64,6252001,6252001,,0,0
2001:470:d:11e::/63,6252001,6252001,,0,0
2001:470:d:120::/59,6252001,6252001,,0,0
2001:470:d:140::/58,6252001,6252001,,0,0
2001:470:d:180::/57,6252001,6252001,,0,0
2001:470:d:200::/55,6252001,6252001,,0,0
2001:470:d:400::/54,6252001,6252001,,0,0
2001:470:d:800::/53,6252001,6252001,,0,0
2001:470:d:1000::/52,6252001,6252001,,0,0
2001:470:d:2000::/51,6252001,6252001,,0,0
2001:470:d:4000::/50,6252001,6252001,,0,0
2001:470:d:8000::/49,6252001,6252001,,0,0
2001:470:e::/47,6252001,6252001,,0,0
2001:470:10::/45,6252001,6252001,,0,0
2001:470:18::/53,6252001,6252001,,0,0
2001:470:18:800::/54,6252001,6252001,,0,0
2001:470:18:c00::/58,6252001,6252001,,0,0
2001:470:18:c40::/59,6252001,6252001,,0,0
2001:470:18:c60::/60,6252001,6252001,,0,0
2001:470:18:c70::/62,6252001,6252001,,0,0
2001:470:18:c74::/63,6252001,6252001,,0,0
2001:470:18:c76::/64,1819730,6252001,,0,0
2001:470:18:c77::/64,6252001,6252001,,0,0
2001:470:18:c78::/61,6252001,6252001,,0,0
2001:470:18:c80::/57,6252001,6252001,,0,0
2001:470:18:d00::/57,6252001,6252001,,0,0
2001:470:18:d80::/58,6252001,6252001,,0,0
2001:470:18:dc0::/59,6252001,6252001,,0,0
2001:470:18:de0::/61,6252001,6252001,,0,0
2001:470:18:de8::/62,6252001,6252001,,0,0
2001:470:18:dec::/63,6252001,6252001,,0,0
2001:470:18:dee::/64,1819730,6252001,,0,0
2001:470:18:def::/64,6252001,6252001,,0,0
2001:470:18:df0::/60,6252001,6252001,,0,0
2001:470:18:e00::/55,6252001,6252001,,0,0
2001:470:18:1000::/52,6252001,6252001,,0,0
2001:470:18:2000::/51,6252001,6252001,,0,0
2001:470:18:4000::/50,6252001,6252001,,0,0
2001:470:18:8000::/49,6252001,6252001,,0,0
2001:470:19::/53,6252001,6252001,,0,0
2001:470:19:800::/54,6252001,6252001,,0,0
2001:470:19:c00::/58,6252001,6252001,,0,0
2001:470:19:c40::/59,6252001,6252001,,0,0
2001:470:19:c60::/60,6252001,6252001,,0,0
2001:470:19:c70::/62,6252001,6252001,,0,0
2001:470:19:c74::/64,6252001,6252001,,0,0
2001:470:19:c75::/64,1819730,6252001,,0,0
2001:470:19:c76::/63,6252001,6252001,,0,0
2001:470:19:c78::/61,6252001,6252001,,0,0
2001:470:19:c80::/57,6252001,6252001,,0,0
2001:470:19:d00::/56,6252001,6252001,,0,0
2001:470:19:e00::/57,6252001,6252001,,0,0
2001:470:19:e80::/64,1819730,6252001,,0,0
2001:470:19:e81::/64,6252001,6252001,,0,0
2001:470:19:e82::/63,6252001,6252001,,0,0
2001:470:19:e84::/62,6252001,6252001,,0,0
2001:470:19:e88::/61,6252001,6252001,,0,0
2001:470:19:e90::/60,6252001,6252001,,0,0
2001:470:19:ea0::/59,6252001,6252001,,0,0
2001:470:19:ec0::/58,6252001,6252001,,0,0
2001:470:19:f00::/56,6252001,6252001,,0,0
2001:470:19:1000::/56,6252001,6252001,,0,0
2001:470:19:1100::/57,6252001,6252001,,0,0
2001:470:19:1180::/64,6252001,6252001,,0,0
2001:470:19:1181::/64,1819730,6252001,,0,0
2001:470:19:1182::/63,6252001,6252001,,0,0
2001:470:19:1184::/62,6252001,6252001,,0,0
2001:470:19:1188::/61,6252001,6252001,,0,0
2001:470:19:1190::/60,6252001,6252001,,0,0
2001:470:19:11a0::/59,6252001,6252001,,0,0
2001:470:19:11c0::/58,6252001,6252001,,0,0
2001:470:19:1200::/55,6252001,6252001,,0,0
2001:470:19:1400::/54,6252001,6252001,,0,0
2001:470:19:1800::/53,6252001,6252001,,0,0
2001:470:19:2000::/51,6252001,6252001,,0,0
2001:470:19:4000::/50,6252001,6252001,,0,0
2001:470:19:8000::/49,6252001,6252001,,0,0
2001:470:1a::/47,6252001,6252001,,0,0
2001:470:1c::/57,6252001,6252001,,0,0
2001:470:1c:80::/59,6252001,6252001,,0,0
2001:470:1c:a0::/64,6252001,6252001,,0,0
2001:470:1c:a1::/127,6252001,6252001,,0,0
2001:470:1c:a1::2/128,6251999,6252001,,0,0
2001:470:1c:a1::3/128,6252001,6252001,,0,0
2001:470:1c:a1::4/126,6252001,6252001,,0,0
2001:470:1c:a1::8/125,6252001,6252001,,0,0
2001:470:1c:a1::10/124,6252001,6252001,,0,0
2001:470:1c:a1::20/123,6252001,6252001,,0,0
2001:470:1c:a1::40/122,6252001,6252001,,0,0
2001:470:1c:a1::80/121,6252001,6252001,,0,0
2001:470:1c:a1::100/120,6252001,6252001,,0,0
2001:470:1c:a1::200/119,6252001,6252001,,0,0
2001:470:1c:a1::400/118,6252001,6252001,,0,0
2001:470:1c:a1::800/117,6252001,6252001,,0,0
2001:470:1c:a1::1000/116,6252001,6252001,,0,0
2001:470:1c:a1::2000/115,6252001,6252001,,0,0
2001:470:1c:a1::4000/114,6252001,6252001,,0,0
2001:470:1c:a1::8000/113,6252001,6252001,,0,0
2001:470:1c:a1::1:0/112,6252001,6252001,,0,0
2001:470:1c:a1::2:0/111,6252001,6252001,,0,0
2001:470:1c:a1::4:0/110,6252001,6252001,,0,0
2001:470:1c:a1::8:0/109,6252001,6252001,,0,0
2001:470:1c:a1::10:0/108,6252001,6252001,,0,0
2001:470:1c:a1::20:0/107,6252001,6252001,,0,0
2001:470:1c:a1::40:0/106,6252001,6252001,,0,0
2001:470:1c:a1::80:0/105,6252001,6252001,,0,0
2001:470:1c:a1::100:0/104,6252001,6252001,,0,0
2001:470:1c:a1::200:0/103,6252001,6252001,,0,0
2001:470:1c:a1::400:0/102,6252001,6252001,,0,0
2001:470:1c:a1::800:0/101,6252001,6252001,,0,0
2001:470:1c:a1::1000:0/100,6252001,6252001,,0,0
2001:470:1c:a1::2000:0/99,6252001,6252001,,0,0
2001:470:1c:a1::4000:0/98,6252001,6252001,,0,0
2001:470:1c:a1::8000:0/97,6252001,6252001,,0,0
2001:470:1c:a1:0:1::/96,6252001,6252001,,0,0
2001:470:1c:a1:0:2::/95,6252001,6252001,,0,0
2001:470:1c:a1:0:4::/94,6252001,6252001,,0,0
2001:470:1c:a1:0:8::/93,6252001,6252001,,0,0
2001:470:1c:a1:0:10::/92,6252001,6252001,,0,0
2001:470:1c:a1:0:20::/91,6252001,6252001,,0,0
2001:470:1c:a1:0:40::/90,6252001,6252001,,0,0
2001:470:1c:a1:0:80::/89,6252001,6252001,,0,0
2001:470:1c:a1:0:100::/88,6252001,6252001,,0,0
2001:470:1c:a1:0:200::/87,6252001,6252001,,0,0
2001:470:1c:a1:0:400::/86,6252001,6252001,,0,0
2001:470:1c:a1:0:800::/85,6252001,6252001,,0,0
2001:470:1c:a1:0:1000::/84,6252001,6252001,,0,0
2001:470:1c:a1:0:2000::/83,6252001,6252001,,0,0
2001:470:1c:a1:0:4000::/82,6252001,6252001,,0,0
2001:470:1c:a1:0:8000::/81,6252001,6252001,,0,0
2001:470:1c:a1:1::/80,6252001,6252001,,0,0
2001:470:1c:a1:2::/79,6252001,6252001,,0,0
2001:470:1c:a1:4::/78,6252001,6252001,,0,0
2001:470:1c:a1:8::/77,6252001,6252001,,0,0
2001:470:1c:a1:10::/76,6252001,6252001,,0,0
2001:470:1c:a1:20::/75,6252001,6252001,,0,0
2001:470:1c:a1:40::/74,6252001,6252001,,0,0
2001:470:1c:a1:80::/73,6252001,6252001,,0,0
2001:470:1c:a1:100::/72,6252001,6252001,,0,0
2001:470:1c:a1:200::/71,6252001,6252001,,0,0
